"","Rushing","Receiving","Snap Counts"
"Rk","Gcar","Gtm","Week","Date","Team","","Opp","Result","GS","Att","Yds","TD","Y/A","Tgt","Rec","Yds","Y/R","TD","Ctch%","Y/Tgt","OffSnp","Off%","DefSnp","Def%","STSnp","ST%"
"","","1","1","2023-09-10","NOR","","TEN","W, 16-15","Did Not Play"
"","","2","2","2023-09-18","NOR","@","CAR","W, 20-17","Did Not Play"
"","","3","3","2023-09-24","NOR","@","GNB","L, 17-18","Did Not Play"
"1","89","4","4","2023-10-01","NOR","","TAM","L, 9-26","*","11","51","0","4.6","14","13","33","2.5","0","92.9","2.4","49","75.4","0","0.0","0","0.0"
"2","90","5","5","2023-10-08","NOR","@","NWE","W, 34-0","*","22","80","1","3.6","3","3","17","5.7","0","100.0","5.7","45","62.5","0","0.0","0","0.0"
"3","91","6","6","2023-10-15","NOR","@","HOU","L, 13-20","*","19","68","0","3.6","8","7","36","5.1","0","87.5","4.5","66","80.5","0","0.0","0","0.0"
"4","92","7","7","2023-10-19","NOR","","JAX","L, 24-31","*","17","62","0","3.6","14","12","91","7.6","0","85.7","6.5","66","73.3","0","0.0","0","0.0"
"5","93","8","8","2023-10-29","NOR","@","IND","W, 38-27","*","17","59","1","3.5","5","4","51","12.8","1","80.0","10.2","38","57.6","0","0.0","0","0.0"
"6","94","9","9","2023-11-05","NOR","","CHI","W, 24-17","*","9","26","0","2.9","5","4","44","11.0","0","80.0","8.8","31","49.2","0","0.0","0","0.0"
"7","95","10","10","2023-11-12","NOR","@","MIN","L, 19-27","*","9","42","0","4.7","7","7","33","4.7","0","100.0","4.7","51","76.1","0","0.0","0","0.0"
"8","96","11","12","2023-11-26","NOR","@","ATL","L, 15-24","*","15","69","0","4.6","5","4","50","12.5","0","80.0","10.0","46","63.9","0","0.0","0","0.0"
"9","97","12","13","2023-12-03","NOR","","DET","L, 28-33","*","14","51","2","3.6","8","6","58","9.7","0","75.0","7.3","39","58.2","0","0.0","0","0.0"
"10","98","13","14","2023-12-10","NOR","","CAR","W, 28-6","*","12","56","1","4.7","4","3","-11","-3.7","0","75.0","-2.8","28","53.8","0","0.0","0","0.0"
"11","99","14","15","2023-12-17","NOR","","NYG","W, 24-6","","16","66","0","4.1","5","5","44","8.8","0","100.0","8.8","32","51.6","0","0.0","0","0.0"
"12","100","15","16","2023-12-21","NOR","@","LAR","L, 22-30","*","9","19","0","2.1","6","5","16","3.2","0","83.3","2.7","44","73.3","0","0.0","0","0.0"
"13","101","16","17","2023-12-31","NOR","@","TAM","W, 23-13","*","10","45","0","4.5","2","2","4","2.0","0","100.0","2.0","23","32.9","0","0.0","0","0.0"
"13","","17","18","2024-01-07","NOR","","ATL","W, 48-17","Inactive"
"","","","","","","","","6-7","","180","694","5","3.9","86","75","466","6.2","1","87.2","5.4","558","62.8","0","0.0","0","0.0"
