"","Rushing","Receiving","Passing","Fumbles","Snap Counts"
"Rk","Gcar","Gtm","Week","Date","Team","","Opp","Result","GS","Att","Yds","TD","Y/A","Tgt","Rec","Yds","Y/R","TD","Ctch%","Y/Tgt","Cmp","Att","Cmp%","Yds","TD","Int","Y/A","AY/A","Rate","Sk","Yds","Fmb","FL","FF","FR","Yds","FRTD","OffSnp","Off%","DefSnp","Def%","STSnp","ST%"
"1","87","1","1","2022-09-11","TEN","","NYG","L, 20-21","*","21","82","0","3.9","1","0","0","","0","0.0","0.0","0","0","","0","0","0","","","","0","0","1","0","0","1","0","0","44","67.7","0","0.0","0","0.0"
"2","88","2","2","2022-09-19","TEN","@","BUF","L, 7-41","*","13","25","1","1.9","0","0","0","","0","","","0","0","","0","0","0","","","","0","0","0","0","0","0","0","0","26","46.4","0","0.0","0","0.0"
"3","89","3","3","2022-09-25","TEN","","LVR","W, 24-22","*","20","85","1","4.3","6","5","58","11.6","0","83.3","9.7","0","0","","0","0","0","","","","0","0","0","0","0","0","0","0","43","74.1","0","0.0","0","0.0"
"4","90","4","4","2022-10-02","TEN","@","IND","W, 24-17","*","22","114","1","5.2","5","3","33","11.0","0","60.0","6.6","0","0","","0","0","0","","","","0","0","0","0","0","0","0","0","37","68.5","0","0.0","0","0.0"
"5","91","5","5","2022-10-09","TEN","@","WAS","W, 21-17","*","28","102","2","3.6","2","2","30","15.0","0","100.0","15.0","0","0","","0","0","0","","","","0","0","0","0","0","0","0","0","41","64.1","0","0.0","0","0.0"
"6","92","6","7","2022-10-23","TEN","","IND","W, 19-10","*","30","128","0","4.3","3","3","10","3.3","0","100.0","3.3","0","0","","0","0","0","","","","0","0","0","0","0","0","0","0","44","74.6","0","0.0","0","0.0"
"7","93","7","8","2022-10-30","TEN","@","HOU","W, 17-10","*","32","219","2","6.8","1","1","9","9.0","0","100.0","9.0","0","0","","0","0","0","","","","0","0","0","0","0","0","0","0","43","74.1","0","0.0","0","0.0"
"8","94","8","9","2022-11-06","TEN","@","KAN","L, 17-20 (OT)","*","17","115","2","6.8","0","0","0","","0","","","0","0","","0","0","0","","","","0","0","0","0","0","0","0","0","30","58.8","0","0.0","0","0.0"
"9","95","9","10","2022-11-13","TEN","","DEN","W, 17-10","*","19","53","0","2.8","3","2","14","7.0","0","66.7","4.7","0","0","","0","0","0","","","","0","0","0","0","0","0","0","0","36","58.1","0","0.0","0","0.0"
"10","96","10","11","2022-11-17","TEN","@","GNB","W, 27-17","*","28","87","1","3.1","2","2","45","22.5","0","100.0","22.5","2","2","100.0","4","1","0","2.0","12.00","118.7","0","0","0","0","0","0","0","0","47","71.2","0","0.0","0","0.0"
"11","97","11","12","2022-11-27","TEN","","CIN","L, 16-20","*","17","38","0","2.2","3","3","79","26.3","0","100.0","26.3","0","0","","0","0","0","","","","0","0","1","0","0","0","0","0","32","56.1","0","0.0","0","0.0"
"12","98","12","13","2022-12-04","TEN","@","PHI","L, 10-35","*","11","30","0","2.7","3","2","8","4.0","0","66.7","2.7","0","0","","0","0","0","","","","0","0","0","0","0","0","0","0","30","54.5","0","0.0","0","0.0"
"13","99","13","14","2022-12-11","TEN","","JAX","L, 22-36","*","17","121","1","7.1","5","3","34","11.3","0","60.0","6.8","0","0","","0","0","0","","","","0","0","2","2","0","0","-6","0","50","74.6","0","0.0","0","0.0"
"14","100","14","15","2022-12-18","TEN","@","LAC","L, 14-17","*","21","104","1","5.0","4","4","59","14.8","0","100.0","14.8","0","0","","0","0","0","","","","0","0","1","0","0","0","0","0","44","71.0","0","0.0","0","0.0"
"15","101","15","16","2022-12-24","TEN","","HOU","L, 14-19","*","23","126","1","5.5","2","2","0","0.0","0","100.0","0.0","0","0","","0","0","0","","","","0","0","1","1","0","0","0","0","45","73.8","0","0.0","0","0.0"
"15","","16","17","2022-12-29","TEN","","DAL","L, 13-27","Inactive"
"16","102","17","18","2023-01-07","TEN","@","JAX","L, 16-20","*","30","109","0","3.6","1","1","19","19.0","0","100.0","19.0","0","0","","0","0","0","","","","0","0","0","0","0","0","0","0","56","74.7","0","0.0","0","0.0"
"","","","","","","","","7-9","","349","1538","13","4.4","41","33","398","12.1","0","80.5","9.7","2","2","100.0","4","1","0","2.0","12.00","118.7","0","0","6","3","0","1","-6","0","648","66.8","0","0.0","0","0.0"
